MovieID,Title,Director,Genre,ReleaseYear,Budget (Crores),BoxOffice (Crores),Rating,Duration (minutes),LeadActor,LeadActress,Language,ProductionCompany
MOV001,Lagaan,Ashutosh Gowariker,Unknown Genre,2001,50.0,100.0,8.1,224,Aamir Khan,Gracy Singh,Hindi,Aamir Khan Productions
MOV002,Kabhi Khushi Kabhie Gham...,Karan Johar,Family Drama,2001,50.0,100.0,7.9,210,Shah Rukh Khan,Kajol,Hindi,Dharma Productions
MOV003,M.S. Dhoni: The Untold Story,Neeraj Pandey,Biographical Sports Drama,2016,50.0,215.0,7.9,184,Sushant Singh Rajput,Kiara Advani,Hindi,Fox Star Studios
MOV005,Chennai Express,Rohit Shetty,Action Comedy,2013,50.0,423.0,6.4,141,Shah Rukh Khan,Deepika Padukone,Hindi,Red Chillies Entertainment
MOV006,Bharat,Ali Abbas Zafar,Drama,2019,100.0,325.0,6.8,156,Salman Khan,Katrina Kaif,Hindi,Reel Life Productions
MOV007,Dangal,Nitesh Tiwari,Biographical Sports Drama,2016,70.0,2140.0,8.1,161,Aamir Khan,Fatima Sana Shaikh,Hindi,Aamir Khan Productions
MOV009,PK,Rajkumar Hirani,Satirical Science Fiction Comedy,2014,85.0,792.0,8.1,153,Aamir Khan,Anushka Sharma,Hindi,Vinod Chopra Films
MOV011,Bajirao Mastani,Sanjay Leela Bhansali,Historical Romance,2015,120.0,565.0,7.5,158,Ranveer Singh,Deepika Padukone,Hindi,SLB Films
MOV012,Dilwale Dulhania Le Jayenge,Aditya Chopra,Romance,1995,50.0,250.0,7.7,189,Shah Rukh Khan,Kajol,Hindi,Yash Raj Films
MOV013,Krrish 3,Rakesh Roshan,Superhero Science Fiction,2013,115.0,530.0,5.5,152,Hrithik Roshan,Priyanka Chopra,Hindi,Filmkraft Productions
MOV014,Raees,Rahul Dholakia,Action Thriller,2017,85.0,395.0,7.2,143,Shah Rukh Khan,Mahira Khan,Hindi,Red Chillies Entertainment
MOV015,Tiger Zinda Hai,Ali Abbas Zafar,Action Thriller,2017,150.0,565.0,6.9,161,Salman Khan,Katrina Kaif,Hindi,Yash Raj Films
MOV016,Baaghi 2,Ahmed Khan,Action Thriller,2018,60.0,254.0,6.3,148,Tiger Shroff,Disha Patani,Hindi,Nadiadwala Grandson Entertainment
MOV017,Thugs of Hindostan,Vijay Krishna Acharya,Action-Adventure,2018,300.0,335.0,4.5,167,Amitabh Bachchan,Aamir Khan,Hindi,Yash Raj Films
MOV018,Gully Boy,Zoya Akhtar,Musical Drama,2019,40.0,238.0,7.8,153,Ranveer Singh,Alia Bhatt,Hindi,Excel Entertainment
MOV019,War,Siddharth Anand,Action Thriller,2019,150.0,475.0,6.8,154,Hrithik Roshan,Tiger Shroff,Hindi,Yash Raj Films
MOV020,Tanaji: The Unsung Warrior,Om Raut,Historical Action,2020,150.0,368.0,7.1,135,Ajay Devgn,Kajol,Hindi,Ajay Devgn FFilms
MOV031,Saaho,Sujeeth,Action Thriller,2019,300.0,450.0,6.5,170,Prabhas,Shraddha Kapoor,"Telugu (Dubbed in Hindi, Kannada)",UV Creations
MOV041,Dilwale Dulhania Le Jayenge,Aditya Chopra,Romance,1995,4.0,61.0,7.7,189,Shah Rukh Khan,Kajol,Hindi,Yash Raj Films
MOV043,Lagaan,Ashutosh Gowariker,Historical Sports Drama,2001,25.0,67.0,8.1,224,Aamir Khan,Gracy Singh,Hindi,Aamir Khan Productions
MOV045,3 Idiots,Rajkumar Hirani,Comedy Drama,2009,35.0,460.0,8.4,171,Aamir Khan,Kareena Kapoor,Hindi,Vidhu Vinod Chopra Productions
MOV047,Dabangg,Abhinav Kashyap,Action Comedy,2010,30.0,215.0,6.3,126,Salman Khan,Sonakshi Sinha,Hindi,Arbaaz Khan Productions
MOV048,The Dirty Picture,Milan Luthria,Biographical Drama,2011,18.0,85.0,6.8,144,Vidya Balan,Naseeruddin Shah,Hindi,Balaji Motion Pictures 
MOV050,Yeh Jawaani Hai Deewani,Ayan Mukerji,Romantic Comedy,2013,50.0,318.0,7.5,159,Ranbir Kapoor,Deepika Padukone,Hindi,Dharma Productions
MOV051,Kahaani,Sujoy Ghosh,Thriller,2012,8.0,79.0,8.1,122,Vidya Balan,Parambrata Chatterjee,Hindi,Boundscript Motion Pictures 
MOV053,Hindi Medium,Saket Chaudhary,Comedy Drama,2017,23.0,69.0,7.5,132,Irrfan Khan,Saba Qamar,Hindi,T-Series 
MOV054,Toilet: Ek Prem Katha,Shree Narayan Singh,Satirical Comedy,2017,24.0,216.0,7.3,155,Akshay Kumar,Bhumi Pednekar,Hindi,Viacom 18 Motion Pictures 
MOV055,Badhaai Ho,Amit Ravindernath Sharma,Comedy Drama,2018,22.0,221.0,7.9,124,Ayushmann Khurrana,Sanya Malhotra,Hindi,Junglee Pictures 
